Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I need money to refinance my home loan at a lower interest rate.,168810,312,78532,8.43,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,69518,702,28604,14.82,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,133120,836,63513,35.93,unemployed,Rejected
I need financial support for medical treatment abroad.,20077,807,13996,207.9,employed,Rejected
I want to invest in livestock to start a small dairy farm.,96198,523,54574,29.4,employed,Rejected
I need money to refinance my home loan at a lower interest rate.,121813,424,30061,28.3,employed,Rejected
I need money to publish and market my self-written book.,142618,392,16871,29.45,employed,Rejected
I want to start a local transportation service and need funds for a van.,142125,548,23436,12.17,unemployed,Rejected
I need money to publish and market my self-written book.,144593,719,60022,13.11,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,35170,707,25143,20.14,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,51131,794,9693,81.92,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,198829,615,123282,17.22,employed,Rejected
I want to invest in livestock to start a small dairy farm.,147019,659,69727,11.43,employed,Approved
I want to consolidate my credit card debts into one manageable payment.,175571,653,123049,4.89,unemployed,Rejected
I need a loan to start a small business.,106529,819,75365,7.31,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,186741,772,19102,23.57,employed,Approved
I need financial help to cover maternity and delivery expenses.,158054,522,47898,13.69,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,102027,583,61957,31.06,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,59264,394,35793,10.09,employed,Rejected
I want to make home improvements like installing solar panels.,174607,405,57280,13.46,employed,Rejected
I need money to cover adoption fees and related expenses.,26620,844,14541,170.28,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,181857,398,28808,24.06,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",174746,418,102698,7.93,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,83099,632,9621,23.16,employed,Approved
I need a loan to build a website and market my freelance services.,26577,743,17594,103.76,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,41248,514,32750,49.74,unemployed,Rejected
I need a loan to build a website and market my freelance services.,132940,673,78462,9.92,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,170355,730,33047,14.29,employed,Approved
I need funds to launch my handmade jewelry brand online.,178014,804,135676,21.14,employed,Rejected
I need financial help to build my dream home in the countryside.,123785,681,81864,33.56,unemployed,Rejected
I need money to cover funeral expenses for a loved one.,139434,667,61065,5.73,employed,Approved
I need a loan to start a small business.,146357,834,69140,11.19,employed,Approved
I need financial support to pay for my son's football training program.,107184,433,25935,43.46,employed,Rejected
I need financial help to build my dream home in the countryside.,128230,651,67203,31.11,unemployed,Rejected
I need a loan to repair my car after an accident.,171004,553,48476,6.39,unemployed,Rejected
I need money to launch my own tech startup focused on AI solutions.,136952,327,62777,33.41,employed,Rejected
I need funds to pay for my daughter's college tuition.,125386,838,98756,31.9,employed,Rejected
I need financial support to renovate my rental apartment.,141469,818,103085,16.95,employed,Rejected
I want to make home improvements like installing solar panels.,191388,483,77445,16.2,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,165934,746,2486,23.68,employed,Approved
I want to invest in livestock to start a small dairy farm.,127169,391,88617,30.7,employed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,168122,338,116596,4.75,unemployed,Rejected
I need money to purchase a food truck and start my own business.,155926,657,107436,7.66,employed,Rejected
I need money to purchase updated equipment for my photography business.,138744,628,57942,8.67,unemployed,Rejected
I need funds to pay for my pilot training program.,192388,553,34782,12.6,unemployed,Rejected
I need a loan to start a small business.,83986,673,12074,50.66,employed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",43996,587,22087,24.63,employed,Approved
I need a loan to start a small business.,79247,823,10787,48.0,employed,Approved
I need money to invest in a franchise business opportunity.,106469,753,53700,12.14,employed,Approved
I need money to purchase updated equipment for my photography business.,76064,311,50707,29.1,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,94337,827,58636,43.75,unemployed,Rejected
I need financial support to open a daycare center in my neighborhood.,176016,742,3036,6.48,unemployed,Rejected
I want to expand my small online clothing store.,65426,549,27955,56.84,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,55564,810,22338,12.85,unemployed,Rejected
I need a loan to upgrade my small music studio with better equipment.,134461,654,91671,20.38,employed,Rejected
I need a loan to start a small business.,105561,575,29426,39.29,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,124887,344,40470,26.31,unemployed,Rejected
I need money to invest in a franchise business opportunity.,86015,361,1120,34.23,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,23426,555,13773,74.08,employed,Rejected
I need money to purchase updated equipment for my photography business.,107133,440,6345,29.68,unemployed,Rejected
I need money to purchase a food truck and start my own business.,100764,402,19273,32.51,employed,Rejected
I want to consolidate my credit card debts into one manageable payment.,70848,567,36321,41.77,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,157151,646,66218,13.68,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,188965,694,69845,3.77,employed,Approved
I need a loan to pay for my son's medical treatment and therapy.,142753,540,72334,18.53,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,110357,571,17221,37.56,employed,Approved
I need a loan to cover hospital bills after an unexpected surgery.,126187,396,43606,38.83,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,173394,846,125819,7.86,employed,Rejected
I need a loan to start a small business.,158036,474,4939,27.55,employed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,163956,849,25581,7.3,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,162247,397,90881,3.89,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,170548,848,1993,23.27,employed,Approved
I need funds to stock inventory for my new retail store.,187708,667,44359,12.98,unemployed,Rejected
I need money to purchase a food truck and start my own business.,187499,571,78422,11.61,unemployed,Rejected
I need a loan to pay for legal fees related to my business license.,193253,740,24493,24.84,unemployed,Rejected
I need financial support for medical treatment abroad.,106951,843,64606,25.01,employed,Rejected
I need money to purchase a food truck and start my own business.,140520,354,59319,30.44,unemployed,Rejected
I need funds to enroll in a professional certification program.,57189,561,43262,17.19,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,66453,594,3628,40.29,employed,Approved
I need a loan to buy a reliable used car for work commuting.,82816,362,56408,12.87,unemployed,Rejected
I need funds to stock inventory for my new retail store.,56245,649,10600,8.97,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,46425,671,33446,34.38,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,121195,688,64282,32.51,employed,Approved
I want to consolidate my credit card debts into one manageable payment.,94778,663,71843,8.17,employed,Rejected
I need financial help to build my dream home in the countryside.,143789,484,61689,5.94,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,72366,708,52614,56.02,employed,Rejected
I need financial support for medical treatment abroad.,63418,840,46034,66.84,unemployed,Rejected
I need a loan to upgrade my small music studio with better equipment.,70247,485,38947,42.92,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,77947,715,24387,45.63,employed,Approved
I need a loan to repair my car after an accident.,115477,476,89520,35.52,unemployed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",146505,727,79214,19.33,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,168116,358,93729,5.19,employed,Rejected
I need money to publish and market my self-written book.,97042,791,39767,5.73,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,78027,588,22908,6.57,employed,Approved
I need money to start a home-based catering business.,38122,413,11930,61.64,employed,Rejected
I need money to invest in stock trading and portfolio building.,27833,472,2071,169.37,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,155946,715,52214,12.16,unemployed,Rejected
I need a loan to buy a motorcycle for daily transportation.,189424,424,29293,10.62,employed,Rejected
I need a loan to buy a reliable used car for work commuting.,139628,379,78972,22.69,unemployed,Rejected
I need a loan to buy a motorcycle for daily transportation.,38442,661,23487,80.82,employed,Rejected
I want to purchase land to start an organic farming venture.,120033,847,31178,29.89,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,127302,363,6383,33.07,employed,Rejected
I need money to purchase a food truck and start my own business.,152268,799,39870,18.81,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,48521,592,22825,76.51,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,82422,827,39561,41.33,employed,Approved
I need a loan to repair my car after an accident.,67915,530,27556,40.83,employed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",139209,407,66101,5.34,employed,Rejected
I need money to invest in a franchise business opportunity.,86220,683,25309,34.54,employed,Approved
I need money to refinance my home loan at a lower interest rate.,55947,440,4776,18.54,unemployed,Rejected
I need financial support to renovate my rental apartment.,73910,773,56816,61.11,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,134763,353,54751,15.91,unemployed,Rejected
I need a loan to upgrade my small music studio with better equipment.,148203,828,61163,9.56,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,104482,730,73468,27.11,employed,Rejected
I need money to cover funeral expenses for a loved one.,118623,495,55527,6.06,employed,Rejected
I need money to invest in stock trading and portfolio building.,139280,764,110642,33.29,employed,Rejected
I need funds to buy new furniture and appliances for my house.,167356,400,83683,8.99,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,82766,401,25628,12.53,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,176432,676,34438,4.89,employed,Approved
I need money to invest in a franchise business opportunity.,147589,712,86459,31.3,employed,Approved
I need money to invest in stock trading and portfolio building.,168580,373,69800,17.94,unemployed,Rejected
I need financial support to renovate my rental apartment.,160949,796,12513,6.96,employed,Approved
I want to pay off my payday loans and switch to a lower-interest option.,125001,759,85765,16.39,unemployed,Rejected
I want to invest in livestock to start a small dairy farm.,140196,796,25846,17.47,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,133865,650,30018,33.9,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,40883,824,12177,48.5,employed,Approved
I need a loan to cover moving expenses after being transferred to another city.,171692,378,28521,17.41,unemployed,Rejected
I need funds to enroll in a professional certification program.,68807,705,35153,46.88,employed,Approved
I need a loan to upgrade my small music studio with better equipment.,54047,528,12370,83.18,unemployed,Rejected
I need financial help to cover maternity and delivery expenses.,141421,715,102405,17.36,employed,Rejected
I need financial support for medical treatment abroad.,179051,476,101947,4.36,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,163216,676,26802,23.07,unemployed,Rejected
I need money to purchase a food truck and start my own business.,29094,625,19441,67.17,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,113848,645,2854,11.21,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,39070,743,19423,52.65,unemployed,Rejected
I need money to start a home-based catering business.,171576,615,65298,7.35,employed,Approved
I need money to cover adoption fees and related expenses.,95485,508,18808,36.91,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,68804,839,11648,20.54,unemployed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,75615,468,56992,64.33,unemployed,Rejected
I need a loan to buy a motorcycle for daily transportation.,123180,365,5124,14.03,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,171936,348,105282,19.86,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,121811,761,83891,11.26,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,110643,605,41855,35.38,unemployed,Rejected
I need funds to expand my home-based bakery to a physical store.,70300,322,21002,57.48,employed,Rejected
I need funds to pay for my daughter's college tuition.,196301,393,39440,9.1,employed,Rejected
I need money to start a home-based catering business.,58288,493,18334,35.18,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,146988,674,20601,4.01,employed,Approved
I need a loan to start a small business.,81482,451,59677,27.46,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,82171,535,53045,17.88,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,105812,782,73859,34.62,employed,Rejected
I need a loan to repair my car after an accident.,147197,553,1469,24.68,unemployed,Rejected
I need funds to buy new furniture and appliances for my house.,154273,444,110424,28.11,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,93754,707,24175,37.06,employed,Approved
I need a loan to cover emergency expenses after a natural disaster.,44730,507,1102,36.77,employed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,86213,456,47438,36.27,employed,Rejected
I want to consolidate my credit card debts into one manageable payment.,39317,740,10948,98.38,unemployed,Rejected
I need money to launch my own tech startup focused on AI solutions.,145192,538,99449,23.39,unemployed,Rejected
I need funds to expand my home-based bakery to a physical store.,43226,728,8940,96.03,unemployed,Rejected
I need a loan to install a security system at home.,186111,775,92274,25.71,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,92051,305,40990,14.23,employed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,189790,437,69960,14.31,employed,Rejected
I need financial help to pay off my high-interest payday loans.,123170,538,7854,23.5,employed,Rejected
I need financial assistance to launch my own YouTube content creation business.,74025,712,4894,59.14,employed,Rejected
I need money to open a small bookstore and café.,163489,348,63493,21.32,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,27094,531,17176,61.23,employed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,86243,517,32829,47.1,employed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,110663,308,59003,45.03,employed,Rejected
I need money to invest in a franchise business opportunity.,24322,596,6382,97.55,unemployed,Rejected
I need a loan to pay for legal fees related to my business license.,21379,518,7916,101.24,employed,Rejected
I need money to purchase updated equipment for my photography business.,151033,548,53578,26.88,employed,Rejected
I want to purchase land to start an organic farming venture.,108151,728,13524,16.92,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,185684,495,79584,3.63,employed,Rejected
I need a loan to upgrade my small music studio with better equipment.,120674,392,64161,5.63,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,67097,820,41181,13.46,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",93722,534,10124,36.94,employed,Rejected
I need a loan to develop and launch my mobile app startup.,175557,333,62954,16.87,employed,Rejected
I need money to start a home-based catering business.,188062,770,18707,22.39,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,171766,568,88381,8.39,unemployed,Rejected
I need financial support to pay for my son's football training program.,191641,658,57981,5.56,employed,Approved
I need a loan to pay for a digital marketing course to grow my business.,95113,608,31641,16.37,unemployed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,88623,717,55459,17.73,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,142938,624,2483,16.55,employed,Approved
I want to start a small roadside food stall and need funds for equipment.,63446,344,21256,70.62,unemployed,Rejected
I need a loan to start a small business.,81664,349,55418,18.12,employed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,112928,591,15408,12.41,unemployed,Rejected
I want to make home improvements like installing solar panels.,22782,724,9438,157.3,employed,Rejected
I need a loan to install a security system at home.,55399,359,9009,35.33,employed,Rejected
I need money to cover unexpected medical expenses from surgery.,122919,635,26246,12.3,employed,Approved
I want to expand my small online clothing store.,45118,534,17185,34.7,employed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,63592,613,48138,39.62,employed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,170231,405,30258,20.37,unemployed,Rejected
I need financial support for medical treatment abroad.,185547,507,60300,11.2,employed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,72701,677,7892,56.38,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,174330,471,51531,3.46,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,166202,580,15782,7.52,unemployed,Rejected
I need financial help to cover maternity and delivery expenses.,54207,834,6441,84.68,employed,Rejected
I need financial assistance to launch my own YouTube content creation business.,58570,713,8267,21.23,unemployed,Rejected
I need funds to enroll in a professional certification program.,196120,525,44043,7.23,employed,Rejected
I need funds to buy new furniture and appliances for my house.,40932,736,18808,92.72,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,197226,423,53839,15.87,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,46036,675,9856,53.99,unemployed,Rejected
I need money to invest in a franchise business opportunity.,184018,620,103711,6.78,employed,Approved
I need a loan to repair my car after an accident.,113581,328,68387,7.69,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,100109,604,18834,33.49,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,105539,495,5151,13.04,employed,Rejected
I need a loan to upgrade my small music studio with better equipment.,93561,520,45964,51.95,unemployed,Rejected
I need money to cover unexpected medical expenses from surgery.,168135,751,62574,13.6,unemployed,Rejected
I need money to purchase a food truck and start my own business.,43347,771,34181,94.03,employed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",147190,371,25069,30.53,employed,Rejected
I need money to cover unexpected medical expenses from surgery.,138334,404,110643,15.58,employed,Rejected
I need money to launch my own tech startup focused on AI solutions.,59218,511,28137,67.51,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,60690,358,48218,15.75,employed,Rejected
I need money to cover unexpected medical expenses from surgery.,128961,631,65787,19.24,employed,Approved
I need a loan to cover hospital bills after an unexpected surgery.,35599,689,15219,30.21,unemployed,Rejected
I need a loan to upgrade my small music studio with better equipment.,49342,824,39273,77.85,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,79031,405,31894,32.26,unemployed,Rejected
I need a loan to buy a motorcycle for daily transportation.,73201,667,50342,19.35,employed,Rejected
I need funds to buy new furniture and appliances for my house.,66134,371,27487,11.3,unemployed,Rejected
I need money to purchase a food truck and start my own business.,144554,641,33015,31.63,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,190285,782,120716,14.58,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,115112,696,10870,12.37,employed,Approved
I need financial help to build my dream home in the countryside.,146434,790,57216,8.11,unemployed,Rejected
I need funds to stock inventory for my new retail store.,127262,535,19032,16.39,unemployed,Rejected
I need money to launch my own tech startup focused on AI solutions.,62264,796,8844,21.77,employed,Approved
I need money to buy new tools and materials for my woodworking business.,157132,703,26367,25.73,employed,Approved
I want to start a local transportation service and need funds for a van.,53567,704,7479,13.73,unemployed,Rejected
I want to purchase land to start an organic farming venture.,114492,334,48609,9.45,unemployed,Rejected
I need a loan to repair my car after an accident.,153711,620,15586,12.11,employed,Approved
I need money to purchase a food truck and start my own business.,153840,686,114744,31.24,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,195015,687,107297,23.33,employed,Approved
I need funds to upgrade my computer and buy software for freelance work.,52183,753,8032,32.79,employed,Approved
I need money to buy new tools and materials for my woodworking business.,159926,752,24753,28.01,employed,Approved
I want to consolidate my credit card debts into one manageable payment.,165346,744,118988,22.9,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,85953,426,35139,51.63,employed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,100465,520,23909,33.43,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,59579,373,31987,34.58,employed,Rejected
I need money to purchase a food truck and start my own business.,117810,390,27280,38.34,employed,Rejected
I need financial support for medical treatment abroad.,140207,814,77728,18.24,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,126311,712,9258,37.74,employed,Approved
I want to expand my small online clothing store.,107108,720,15189,40.6,employed,Approved
I need money to buy new tools and materials for my woodworking business.,46471,385,30029,97.9,unemployed,Rejected
I need money to invest in a franchise business opportunity.,93566,711,16670,38.86,employed,Approved
I want to buy a car for my rideshare business on Uber.,39531,601,24352,19.06,employed,Rejected
I need money to purchase a food truck and start my own business.,103804,690,12899,36.81,unemployed,Rejected
I need a loan to pay for a down payment on my first home.,187655,605,104391,10.7,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,106990,438,27964,36.35,employed,Rejected
I need funds to expand my home-based bakery to a physical store.,94474,460,21073,35.24,employed,Rejected
I need money to open a small bookstore and café.,129522,605,5261,4.06,employed,Approved
I need a loan to cover moving expenses after being transferred to another city.,46937,790,12470,66.92,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,70591,459,6989,7.36,employed,Rejected
I want to expand my small online clothing store.,171863,346,73508,25.55,unemployed,Rejected
I need money to open a small bookstore and café.,148351,697,77431,19.36,employed,Approved
I need financial support to open a daycare center in my neighborhood.,126021,809,36413,9.52,unemployed,Rejected
I need a loan to install a security system at home.,178939,751,135407,18.72,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,146981,591,35287,28.72,employed,Approved
I want to invest in livestock to start a small dairy farm.,111132,414,61248,43.9,employed,Rejected
I want to consolidate my credit card debts into one manageable payment.,146589,382,74373,25.47,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,112055,700,27857,18.77,employed,Approved
I want to start a local transportation service and need funds for a van.,189078,340,49790,3.13,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,29103,395,2241,140.53,employed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,196106,623,85928,21.24,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,191061,666,50388,14.73,unemployed,Rejected
I need financial support for medical treatment abroad.,44970,591,30498,77.35,employed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",153065,437,111807,25.36,unemployed,Rejected
I need a loan to repair my car after an accident.,172886,312,1851,3.74,employed,Rejected
I need money to invest in a franchise business opportunity.,195033,739,122262,11.09,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,153209,473,19126,6.54,employed,Rejected
I need a loan to buy a truck and start a moving business.,190802,775,83071,17.17,employed,Approved
I need a loan to buy a reliable used car for work commuting.,49972,796,3741,72.09,employed,Rejected
I want to invest in a rental property as a source of passive income.,89855,669,37006,39.95,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,64092,548,3307,24.0,employed,Rejected
I need money to cover adoption fees and related expenses.,198036,656,32332,16.9,employed,Approved
I need a loan to pay off overdue electricity and water bills.,71859,543,25244,41.94,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,40415,340,29250,56.82,employed,Rejected
I need a loan to support my side business selling handmade candles.,161433,789,106905,7.3,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,77936,439,20716,23.08,employed,Rejected
I need money to publish and market my self-written book.,131351,745,36665,26.07,employed,Approved
I need financial help to build my dream home in the countryside.,105338,361,52956,24.33,unemployed,Rejected
I want to expand my small online clothing store.,133425,622,48340,6.45,unemployed,Rejected
I want to expand my small online clothing store.,190040,605,125501,10.31,unemployed,Rejected
I need money to publish and market my self-written book.,69881,480,42383,21.74,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,109393,532,85924,35.15,employed,Rejected
I need a loan to start a small business.,119723,610,50775,26.64,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,195468,313,4356,12.64,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,42539,838,27587,76.77,employed,Rejected
I need funds to expand my home-based bakery to a physical store.,110227,823,45065,40.32,employed,Approved
I need a loan to buy a truck and start a moving business.,63473,630,45706,21.67,employed,Rejected
I need financial support for medical treatment abroad.,70176,694,7675,47.13,employed,Approved
I need money to cover adoption fees and related expenses.,57836,816,29568,81.81,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,160726,476,35047,20.35,employed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",187452,473,128188,10.0,employed,Rejected
I need funds to enroll in a professional certification program.,143642,388,60338,11.37,employed,Rejected
I need funds to buy new furniture and appliances for my house.,122003,565,21877,29.07,employed,Approved
I want to invest in a rental property as a source of passive income.,106868,502,80120,18.41,employed,Rejected
I need money to launch my own tech startup focused on AI solutions.,53869,836,35956,90.03,employed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,169518,628,125473,10.32,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,82388,443,39150,55.62,employed,Rejected
I need financial help to build my dream home in the countryside.,152525,349,101844,9.6,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,197349,509,84625,23.13,employed,Rejected
I want to start a local transportation service and need funds for a van.,173250,689,84110,17.48,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,47857,508,18688,30.76,employed,Rejected
I want to invest in a rental property as a source of passive income.,122345,644,10779,30.46,unemployed,Rejected
I need a loan to build a website and market my freelance services.,75701,338,16526,61.83,employed,Rejected
I need a loan to buy a truck and start a moving business.,79997,552,31218,13.26,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,161987,485,3446,19.1,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,110023,406,30177,45.38,employed,Rejected
I need money to pay for a vocational training course in plumbing.,31978,517,18810,121.67,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,110844,763,59223,28.92,employed,Approved
I need a loan to buy a reliable used car for work commuting.,120494,481,33244,5.82,unemployed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,124731,333,76272,5.94,unemployed,Rejected
I need a loan to build a website and market my freelance services.,140446,543,54262,20.21,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,166656,570,118530,28.28,unemployed,Rejected
I want to start a local transportation service and need funds for a van.,195155,833,15742,16.56,employed,Approved
I need a loan to pay for a down payment on my first home.,181861,347,71472,18.45,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,125993,706,76635,4.5,unemployed,Rejected
I need financial help to build my dream home in the countryside.,158632,558,37577,22.89,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,118291,718,8445,27.18,employed,Approved
I need financial support to pay for my son's football training program.,150944,623,120425,30.69,employed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,188798,552,52039,21.16,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,104175,767,50250,39.51,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,52449,325,14631,69.7,unemployed,Rejected
I need money to launch my own tech startup focused on AI solutions.,127092,538,50962,32.39,employed,Rejected
I need money to cover unexpected medical expenses from surgery.,29267,650,20896,118.86,unemployed,Rejected
I need financial support to renovate my rental apartment.,162974,535,98345,13.52,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,50422,582,16368,39.4,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,128855,734,94465,32.64,employed,Rejected
I need funds to expand my home-based bakery to a physical store.,136784,437,37362,10.32,employed,Rejected
I need a loan to build a website and market my freelance services.,127403,465,32126,39.07,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,41243,375,11578,30.42,employed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,83489,833,41622,12.29,unemployed,Rejected
I need money to open a small bookstore and café.,138163,674,27690,14.97,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,97239,583,13462,8.96,employed,Approved
I need funds to stock inventory for my new retail store.,196287,634,129142,4.08,unemployed,Rejected
I need funds to enroll in a professional certification program.,90430,756,4090,35.54,unemployed,Rejected
I need financial support for medical treatment abroad.,193968,596,18866,15.31,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,165562,328,28891,15.38,employed,Rejected
I need money to cover funeral expenses for a loved one.,143953,351,35276,8.57,employed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,106686,642,78069,8.28,unemployed,Rejected
I need money to start a home-based catering business.,99523,646,75680,24.86,unemployed,Rejected
I need a loan to develop and launch my mobile app startup.,192001,628,140722,22.37,unemployed,Rejected
I need financial support to renovate my rental apartment.,173404,435,70617,13.4,employed,Rejected
I want to invest in livestock to start a small dairy farm.,53838,523,18269,66.42,unemployed,Rejected
I need money to invest in a franchise business opportunity.,88337,754,6019,29.12,employed,Approved
I need financial support for medical treatment abroad.,116110,617,35086,10.66,employed,Approved
